Application	comment	#Clusters	#Units	#Lanes	Cycles	TotalBusyUnitCycles	TotalBusyDMACycles	TotalBusyClusterCycles	TotalBusyUnitAndDMACycles
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24672	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24672	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24672	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24672	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24672	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	1549812	1.05588e+06	428400	1.48428e+06	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	1525456	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	1525456	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	4517388	3.08384e+06	1.24193e+06	4.32577e+06	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	24620	16760	6800	23560	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	1525456	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	1525456	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	1525700	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	1525700	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	1526188	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	1526188	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	49228	33520	13600	47120	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	3041152	2.07824e+06	833928	2.91217e+06	0	
	NO_COMMENT	1	1	2	49220	33520	13600	47120	0	
	NO_COMMENT	1	1	2	1525700	1.03912e+06	421600	1.46072e+06	0	
	NO_COMMENT	1	1	2	24620	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24620	16760	6800	23560	0	
	NO_COMMENT	1	1	2	1550308	1.05588e+06	428400	1.48428e+06	0	
	NO_COMMENT	1	1	2	2991944	2.04472e+06	820328	2.86505e+06	0	
	NO_COMMENT	1	1	2	49064	33520	13448	46968	0	
	NO_COMMENT	1	1	2	3001212	2.04472e+06	829600	2.87432e+06	0	
	NO_COMMENT	1	1	2	4551508	3.1006e+06	1.258e+06	4.3586e+06	0	
	NO_COMMENT	1	1	2	2962372	2.02009e+06	816400	2.83649e+06	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24544	16760	6724	23484	0	
	NO_COMMENT	1	1	2	24620	16760	6800	23560	0	
	NO_COMMENT	1	1	2	4576116	3.11736e+06	1.2648e+06	4.38216e+06	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	24612	16760	6800	23560	0	
	NO_COMMENT	1	1	2	1501092	1.02236e+06	414800	1.43716e+06	0	
	NO_COMMENT	1	1	2	1550308	1.05588e+06	428400	1.48428e+06	0	
	NO_COMMENT	1	1	2	1574916	1.07264e+06	435200	1.50784e+06	0	
